"time","der(Tj)","Tj"
0,76.13427160578792,25
0.002,75.97985698348656,25.15211410614876
0.004,75.82575536190271,25.30391987476019
0.006,75.6719660852402,25.45541795186023
0.008,75.518487864561,25.60660960718388
0.01,75.36532099488088,25.75749455011063
0.012,75.21246469806769,25.90807354717979
0.014,75.05991776564265,26.05834778886581
0.016,74.90768098409022,26.20831650040153
0.018,74.75575262602642,26.35798138343588
0.02,74.60413195936887,26.50734315914441
0.022,74.45281977293759,26.65640105045921
0.024,74.30181355691167,26.80515752980909
0.026,74.151113676457,26.9536122374685
0.028,74.00072053973705,27.10176477135495
0.03,73.85063180196819,27.24961744131874
0.032,73.70084767374442,27.39717003990339
0.034,73.55136759013681,27.54442312362131
0.036,73.4021909862165,27.69137724898491
0.038,73.25331729705461,27.83803297250658
0.04,73.10474576428452,27.98439104125455
0.042,72.95647554961839,28.1304522810276
0.044,72.80850623544649,28.27621710321379
0.046,72.66083720429117,28.4216861160914
0.048,72.51346783867474,28.56685992793872
0.05,72.36639752111959,28.71173914703403
0.052,72.21962545600832,28.85632455714135
0.054,72.07315106584583,29.0006167271521
0.056,71.92697374616937,29.14461625252354
0.058,71.78109286262892,29.28832375815496
0.06,71.63550778087453,29.43173986894559
0.062,71.49021794762572,29.57486512993297
0.064,71.34522304444575,29.71769985480962
0.066,71.20052226025155,29.8602448425749
0.068,71.05611499297912,30.00250068632305
0.07,70.91200064056446,30.14446797914835
0.072,70.76817860094359,30.28614731414504
0.074,70.62464827205248,30.4275392844074
0.076,70.48140905182719,30.56864448302969
0.078,70.33846033820369,30.70946350310616
0.08,70.19580152911796,30.84999693773107
0.082,70.0534320225061,30.99024537999869
0.084,69.91135122329946,31.13020941611206
0.086,69.76955873869348,31.26988943302365
0.088,69.62805381375802,31.40928617441643
0.09,69.48683585254676,31.54840022735812
0.092,69.34590425911331,31.6872321789165
0.094,69.2052584375114,31.82578261615929
0.096,69.06489779179465,31.96405212615429
0.098,68.92482172601667,32.10204129596922
0.1,68.7850296442312,32.23975071267183
0.102,68.64552095049184,32.37718096332988
0.104,68.50629504885227,32.51433263501114
0.106,68.36735202242126,32.65120564584497
0.108,68.22869081394063,32.78780103733824
0.11,68.09031082330351,32.92411940065723
0.112,67.95221147177499,33.06016130591466
0.114,67.8143921806202,33.19592732322325
0.116,67.67685237110425,33.33141802269574
0.118,67.53959146449223,33.46663397444485
0.12,67.40260888204925,33.6015757485833
0.122,67.26590404504041,33.73624391522381
0.124,67.12947637473084,33.8706390444791
0.126,66.99332569431829,34.00476131051738
0.128,66.85745119277715,34.13861151228134
0.13,66.72185226170025,34.27219024911388
0.132,66.58652833405093,34.40549807960382
0.134,66.45147884279253,34.5385355623399
0.136,66.3167032208884,34.67130325591092
0.138,66.18220090130187,34.80380171890565
0.14,66.04797131699627,34.93603150991284
0.142,65.91401390093498,35.06799318752131
0.144,65.78032808608128,35.1996873103198
0.146,65.64691366331442,35.33111408431359
0.148,65.51376989906906,35.46227423213909
0.15,65.38089617090348,35.59316836696471
0.152,65.24829192321413,35.72379703611644
0.154,65.11595660039748,35.85416078692029
0.156,64.98388964684992,35.98426016670228
0.158,64.85209050696791,36.11409572278843
0.16,64.72055862514789,36.24366800250472
0.162,64.5892934457863,36.37297755317718
0.164,64.45829441327956,36.50202492213182
0.166,64.32756128457204,36.63081034880318
